Producto,Real 2024,REAL AÑO ANTERIOR,Var %,PO26,dic-24,ene-25,feb-25,mar-25,abr-25,Promedio Nov-24 - Mzo-25,dic-25,ene-26,feb-26,mar-26,abr-26,Promedio Nov-25 - Mzo-26,Var %
TOTAL,3694,3981,0.08,3885,3613,3954,2992,3901,3547,3615,3744,3669,3449,3929,3896,3698,0.02
AGUA PLANETA AZUL,3555,3553,0,3730,3186,3625,2664,3447,3138,3231,3431,3395,3164,3638,3587,3407,0.05
APA BOTELLON 18.9 LTS (x1),2299,2332,0.01,2346,2084,2171,1980,2353,2220,2147,2206,2149,2090,2310,2252,2189,0.02
APA BOTELLA 0.5 LTS ( x20),1190,1142,-0.04,1293,1043,1383,633,1028,853,1022,1142,1151,985,1224,1241,1126,0.1
APA BOTELLA 1.5 LTS (x12),40,52,0.29,60,35,50,30,42,42,39,60,65,58,68,63,63,0.6
APA OTRAS,26,27,0.03,31,24,22,21,25,23,23,23,31,31,36,31,30,0.33
MAQUILAS,90,100,0.11,96,104,88,88,110,114,98,94,81,94,89,94,90,-0.08
MAQUILA AGUA OTROS,2,3,0.25,3,2,2,1,3,2,2,4,3,4,4,4,4,0.65
MAQUILA AGUA 1.5 L TS (x12),3,5,0.77,4,3,5,2,4,4,4,5,5,4,5,4,5,0.33
MAQUILA AGUA 0.5 LTS (x20),85,92,0.09,88,99,80,86,103,108,92,85,74,86,80,87,81,-0.12
BEBIDAS,49,328,5.65,59,110,77,76,117,90,95,63,55,48,56,60,56,-0.41
BON,36,314,7.67,42,101,68,68,102,77,85,51,40,34,40,44,41,-0.51
PA SABOR 0.5 LTS (x12),6,5,-0.19,6,4,3,3,6,6,4,2,6,6,5,3,5,0.13
PA H+ 0.71 LTS (x12),7,9,0.23,11,4,5,5,8,7,6,10,9,9,11,13,10,0.68
TOTAL SIN BON,3658,3666,0,3842,3512,3886,2925,3799,3470,3530,3693,3628,3415,3888,3852,3656,0.04
---
Producto,Real 2024,REAL AÑO ANTERIOR,Var %,PO26,dic-24,ene-25,feb-25,mar-25,abr-25,Promedio Nov-24 - Mzo-25,dic-25,ene-26,feb-26,mar-26,abr-26,Promedio Nov-25 - Mzo-26,Var %
TOTAL,329,342,0.04,347,294,358,254,336,304,310,322,318,293,342,349,327,0.05
AGUA PLANETA AZUL,297,312,0.05,328,269,331,227,309,274,284,301,299,274,322,327,299,0.05
APA BOTELLON 18.9 LTS (x1),134,146,0.09,147,124,133,123,147,138,132,140,135,132,146,150,138,0.05
APA BOTELLA 0.5 LTS ( x20),147,147,0,160,131,182,91,146,120,137,141,142,122,152,154,139,0.01
APA BOTELLA 1.5 LTS (x12),9,12,0.31,14,8,11,8,10,10,9,13,14,13,15,15,14,0.52
APA OTRAS,6,7,0.06,7,6,6,6,6,6,6,6,8,8,9,8,8,0.27
MAQUILAS,10,12,0.14,11,11,10,10,13,13,11,11,10,11,10,11,12,0.12
MAQUILA AGUA OTROS,1,1,0.22,1,0,1,0,1,0,0,1,1,1,1,1,1,0.09
MAQUILA AGUA 1.5 L TS (x12),0,1,0.77,1,0,1,0,1,1,1,1,1,1,1,1,1,0.16
MAQUILA AGUA 0.5 LTS (x20),9,10,0.11,10,10,9,9,11,12,10,9,8,9,9,9,11,0.12
BEBIDAS,22,19,-0.14,8,14,17,17,15,17,16,10,9,9,10,11,16,0.02
BON,19,16,-0.17,7,11,14,14,13,14,13,7,5,5,6,7,13,0.01
PA SABOR 0.5 LTS (x12),1,1,-0.32,1,1,1,1,0,1,1,0,1,1,1,1,1,0.11
PA H+ 0.68 LTS (x12),2,3,0.2,0,2,2,2,2,2,2,3,3,3,3,4,2,0.11
TOTAL SIN BON,310,327,0.05,341,282,344,239,324,290,297,315,312,288,336,343,314,0.06
---
Producto,Real 2024,REAL AÑO ANTERIOR,Var %,PO26,dic-24,ene-25,feb-25,mar-25,abr-25,Promedio Nov-24 - Mzo-25,dic-25,ene-26,feb-26,mar-26,abr-26,Promedio Nov-25 - Mzo-26,Var %
TOTAL,89,86,0.03,89,81,91,85,86,86,86,86,87,85,87,90,88,0.03
AGUA PLANETA AZUL,83,88,-0.05,88,84,91,85,90,87,88,88,88,87,88,91,88,0
APA BOTELLON 18.9 LTS (x1),58,63,-0.08,63,59,61,62,62,62,61,64,63,63,63,67,63,0.03
APA BOTELLA 0.5 LTS ( x20),124,129,-0.04,124,125,131,143,142,140,134,124,123,123,124,124,124,-0.08
APA BOTELLA 1.5 LTS (x12),232,236,-0.02,234,219,225,250,238,240,232,219,221,220,223,231,221,-0.05
APA OTRAS,234,241,-0.03,237,265,261,274,259,260,265,274,249,253,244,255,253,-0.04
MAQUILAS,112,115,-0.03,116,102,117,110,115,113,111,118,117,115,116,117,136,0.22
MAQUILA AGUA OTROS,210,205,0.02,217,215,210,219,213,212,214,188,211,204,206,219,141,-0.34
MAQUILA AGUA 1.5 L TS (x12),186,185,0.01,189,167,201,167,187,188,186,186,171,171,171,212,163,-0.12
MAQUILA AGUA 0.5 LTS (x20),107,109,-0.02,108,98,109,108,109,108,106,111,109,108,109,109,134,0.27
BEBIDAS,449,58,6.7,133,130,218,220,127,194,165,163,168,178,178,182,288,0.74
BON,516,50,9.32,158,112,212,210,123,182,155,134,134,149,147,149,320,1.06
PA SABOR 0.5 LTS (x12),197,166,0.19,192,208,233,214,73,172,160,188,158,149,167,160,157,-0.02
PA H+ 0.68 LTS (x12),321,312,0.03,0,488,288,349,227,343,319,310,320,308,303,299,211,-0.34
